CountyFIPS,NatWalkInd,DIABETES_AdjPrev,OBESITY_AdjPrev,HIGHCHOL_AdjPrev,CHD_AdjPrev,BPHIGH_AdjPrev
02195,8.20833333325,8.3,30.4,26.6,6.1,25.8
02198,5.5666666669,10.8,37.6,27.7,7.7,31.7
02220,12.151515152454545,8.4,32.3,26.5,5.8,27.5
02230,6.833333333,8.0,33.0,27.9,6.0,27.7
02240,5.888888889,9.2,37.3,28.7,7.2,31.1
02275,6.16666666575,8.8,34.4,28.7,6.2,29.6
02282,7.166666667,10.6,32.6,28.2,7.3,30.3
02290,5.185185185333334,13.4,39.5,27.3,9.1,35.1
04001,4.1545454546,17.9,39.1,28.5,9.7,33.4
04003,6.160130719029412,10.8,32.9,29.8,6.6,30.5
04005,8.21088435360204,10.4,27.0,26.2,6.4,26.5
04007,5.455555555444445,11.7,34.4,24.9,6.9,27.3
04009,5.701149425310345,12.5,40.4,30.0,6.6,29.1
04011,3.79166666675,11.4,32.5,27.0,6.1,25.8
04012,4.659090909454545,12.9,35.9,28.4,7.4,30.1
04013,11.323752494896608,10.4,32.7,29.9,5.7,27.3
04015,7.39689265520339,10.8,36.6,26.9,6.9,28.1
04017,5.320512820461539,13.3,38.5,28.1,7.9,32.5
04019,10.712962963041269,10.3,32.8,29.2,5.7,27.9
04021,5.94807370182412,11.8,38.9,31.1,6.3,28.7
04023,5.7272727274848485,14.6,32.4,29.9,6.3,27.2
04025,7.128654970754385,9.1,27.7,28.2,5.8,25.6
04027,10.012910797964789,13.9,42.3,30.5,6.8,30.1
05001,6.166666666476191,13.7,40.9,29.5,7.5,36.5
05003,5.158730158666667,14.5,42.1,29.9,7.9,39.3
05005,6.033333333466667,11.6,41.3,32.9,7.6,35.3
05007,6.621980676311594,11.0,34.2,30.9,6.2,31.6
05009,6.434782608391304,11.2,39.4,33.3,6.8,35.4
05011,5.249999999916667,14.9,41.5,32.9,7.7,39.6
05013,4.5333333332,12.9,38.7,29.9,6.9,37.5
05015,5.101851851833334,12.6,35.6,31.2,7.5,34.6
05017,5.93055555575,17.4,44.6,31.2,8.1,45.1
05019,6.315789473842105,14.3,40.4,30.6,7.8,37.9
05021,5.166666666578948,12.6,38.1,31.5,8.0,37.9
05023,5.742424242272727,11.7,36.6,32.6,7.3,35.1
05025,3.458333333375,13.4,41.0,32.0,8.0,38.1
05027,5.863636364,14.3,41.1,31.2,7.3,41.1
05029,4.6547619047857145,13.5,41.3,33.3,8.0,39.1
05031,6.936111111366667,12.3,37.5,32.7,7.5,36.5
05033,5.960784313970588,12.5,39.5,34.3,7.6,35.7
05035,8.861111111476191,15.8,41.5,32.0,7.3,42.9
05037,5.872549019411765,13.9,38.5,32.3,7.7,38.9
05039,5.407407407333334,14.4,44.0,30.8,7.2,40.2
05041,6.083333333714286,17.6,45.2,30.8,8.5,44.6
05043,5.083333333444445,13.7,41.6,32.3,7.3,39.1
05045,6.625,11.9,37.8,31.5,6.7,34.7
05047,5.320512820692307,12.8,40.1,32.8,7.9,38.9
05049,4.041666666583334,13.7,39.0,34.3,9.0,39.1
05051,7.3238095238285705,11.5,37.8,31.8,6.9,33.8
05053,4.358974358923077,11.0,35.5,32.0,6.9,34.5
05055,5.788461538461538,12.6,37.6,32.4,7.8,35.3
05057,5.8083333335,14.5,41.2,31.3,7.3,38.8
05059,5.736111111375,13.0,38.6,32.9,7.6,36.8
05061,5.722222222166667,13.2,39.7,31.9,7.0,37.8
05063,5.476190476071428,12.6,39.6,32.9,7.8,37.7
05065,5.333333333400001,11.9,36.9,32.8,7.3,37.1
05067,5.872549020058823,14.3,40.6,33.1,8.1,40.9
05069,6.816901408380281,15.3,44.5,32.3,7.2,45.7
05071,5.361111111222223,14.0,39.1,32.2,8.4,36.2
05073,5.104166666499999,15.9,42.9,32.8,8.4,42.8
05075,5.648148148166666,13.1,41.5,31.7,8.3,36.3
05077,4.515151515090909,17.5,44.9,33.5,8.5,46.8
05079,4.111111111,14.9,39.8,32.5,8.1,41.1
05081,4.205128205076924,12.6,38.9,32.2,7.0,36.3
05083,4.999999999941176,12.2,37.7,31.9,7.7,36.4
05085,5.513157894710527,11.8,38.0,32.1,7.0,35.5
05087,4.243589743692308,12.5,36.0,32.5,7.8,36.0
05089,4.547619047714286,12.3,36.8,32.3,7.9,35.0
